VEC,∆χ,δ(%),ΔHmix,∆Smix,Type
7,0.12,6.35,22.58,16.01,AM
4.38,0.2,11.08,48.46,13.25,AM
7.5,0.29,11.25,23,5.76,AM
7.5,0.16,6.84,30,5.76,AM
9.2,0.16,9.29,23.68,13.38,AM
4.2,0.26,15.25,13.12,13.38,AM
5.33,0.35,18.14,13.11,14.9,AM
4.11,0.26,15.63,12.15,14.53,AM
4.4,0.3,13.74,37.6,13.38,AM
4.4,0.11,7.84,20,13.38,AM
6.8,0.22,9.24,21.28,13.38,AM
4,0.11,4.57,0.1,5.76,AM
6.5,0.3,11.22,3,5.76,AM
7,0.24,12.5,49,5.76,AM
6,0.3,12.47,4,5.76,AM
6.6,0.27,10.32,27.36,13.38,AM
6.2,0.25,10.42,15.84,13.38,AM
6.4,0.26,10.23,23.52,13.38,AM
7,0.14,6.99,17.18,16.01,AM
7.55,0.12,5.51,7.93,14.7,AM
4.6,0.23,8.68,34.08,13.38,AM
4.67,0.26,9.09,16.11,14.9,AM
4.5,0.24,8.64,32.19,17.29,AM
5.03,0.22,13.96,35.2,12.18,AM
9.3,0.14,9.08,24.88,10.64,AM
6.49,0.3,18.56,33.35,13.66,AM
5.26,0.3,11.02,8.45,9.45,AM
7.1,0.28,11.84,24.88,8.79,AM
4.2,0.25,13.55,34.92,11.26,AM
6.9,0.29,18.4,33.36,12,AM
6.54,0.2,16.72,25.88,11.59,AM
9.22,0.17,9.64,24.94,10.55,AM
4,0.26,13.47,14.26,7.37,AM
7,12,6.35,22.58,16.01,AM
4.38,20,11.08,48.64,13.25,AM
7.5,29,11.25,23,5.76,AM
7.5,16,6.84,30,5.76,AM
9.2,16,9.29,23.68,13.38,AM
4.2,26,15.25,13.12,13.38,AM
6.7,11.24,17.14,22.32,10.65,AM
4.69,13.93,14.66,38,11.46,AM
6.38,8.33,13.37,20.02,9.7,AM
4.75,10.64,11.28,26.37,11.3,AM
7.38,4.71,15.01,24.16,8.83,AM
4.67,15.75,7.48,16.11,14.9,AM
7.5,12.27,8.86,33.43,9.69,AM
6.76,11.14,17.14,22.48,10.3,AM
4.2,19.46,14.47,34.47,8.22,AM
7.8,16.56,11.05,23.87,7.03,AM
5.24,14.37,13.54,33.16,12.47,AM
4,22.13,13.45,14.26,7.37,AM
8.01,16.41,11.25,21.92,6.63,AM
8.01,16.03,10.92,23.12,7.08,AM
7.8,10.84,8.19,31.64,8.84,AM
5.78,16.34,9.85,31.51,10.18,AM
7.5,17.65,11.28,23,5.76,AM
4.91,14.16,14.22,36.14,11.97,AM
4.4,21.21,13.74,37.6,13.38,AM
4.3,20.37,9.36,13.24,9.1,AM
4.2,21.28,15.25,13.12,13.38,AM
4.56,13.83,14.94,38.55,11.16,AM
6.53,8.24,13.37,20.21,9.87,AM
8.2,15.64,10.33,17.28,9.05,AM
7.16,4.96,14.95,24.37,10.91,AM
7.47,14.62,11.21,42.85,8.97,AM
5.14,14.32,13.76,34.27,12.34,AM
9.03,5.43,6.19,30.75,4.51,AM
6.83,10.8,9.1,25.96,10.31,AM
7.67,16.75,11.06,24.24,7.07,AM
3.23,98.35,98.13,0.89,7.31,AM
7.31,9.18,17.52,27.72,8.58,AM
5.33,26.51,18.14,13.11,14.9,AM
7.53,16.5,10.89,25.06,7.56,AM
5.18,24.33,11.35,25.24,9.89,AM
9.2,7.59,9.29,23.68,13.38,AM
5.24,24.43,11.27,26.36,9.59,AM
4.77,25.5,16.02,27.31,10.06,AM
7.76,15,11.6,42.19,7.85,AM
5.25,14.37,13.53,33.2,12.47,AM
3.64,7.79,7.02,14.1,4.17,AM
6.9,14.66,18.41,33.36,12,AM
7.5,8.83,6.84,30,5.76,AM
7.75,16.88,11.15,23.81,6.77,AM
7.49,14.26,10.99,41.77,9.13,AM
4.35,18.24,10.55,5.71,7.12,AM
6.88,14.7,18.4,33.41,12.82,AM
4.4,7.42,7.86,20,13.38,AM
4.8,14.06,14.44,37.07,11.73,AM
9.04,5.92,6.3,32.16,5.58,AM
9.82,14.1,8.25,20.63,9.01,AM
