VEC,∆χ,δ(%),∆Smix,∆Hmix,phase
8.6956,0.05251,2.162,13.89,2.19497,FCCBCC
8.18648,0.05437,1.657,11.93,4.40092,FCC
8.5,0.07972,3.566,11.53,4,FCC
7.55,0.07953,4.806,14.69,8.75202,FCC
4.73875,0.21458,6.68,12,1.97,BCC
8.7134,0.05363,2.312,13.96,1.93128,Multiphase
4.521,0.0464,1.393,6.42,1.66296,BCC
8.346,0.05476,2.577,12.26,4.78904,BCC
8.208,0.05396,1.365,11.82,4.18227,Multiphase
4.506,0.02806,1.278,6.07,1.89854,BCC
9.4945,0.01644,1.481,11.58,5.00399,Multiphase
5.94,0.2177,7.786,13.34,3.9816,Multiphase
5.66667,0.1156,9.368,14.9,31.3333,BCC
4.8,0.17788,4.86,13.38,1.44,BCC
7.96,0.0892,5.09,13.71,6.12058,FCC
7.81917,0.06641,5.279,15.08,4.90259,FCC
6.5225,0.04001,3.956,6.79,1.4369,BCC
7.523,0.06401,5.5,13.01,11.0966,Multiphase
6.14286,0.11606,9.424,16.18,31.4286,BCC
5.23875,0.14127,5.908,11.73,5.75856,Multiphase
8.48625,0.02021,1.397,7.02,1.83699,Multiphase
8.776,0.05142,1.574,13.58,2.786,FCC
9.4989,0.0164,1.23,11.54,5.0008,FCC
8.70975,0.05559,1.663,11.79,4.37789,FCC
9.4725,0.01662,2.359,11.73,5.01978,Multiphase
8.27833,0.06197,1.595,10.2,5.50009,Multiphase
10.32305,0.02631,2.516,6.98,2.42942,FCC
8.21625,0.05459,1.644,12.14,4.20379,FCCBCC
7.01,0.07549,6.108,12.2,15.1906,Multiphase
4.4,0.07368,4.992,10.92,2.64,BCC
4.996,0.15535,4.084,11.62,2.87873,BCC
4.36033,0.09388,5.161,9.79,2.22979,BCC
6.4975,0.06655,6.209,11.73,11.445,Multiphase
7.194,0.08723,7.175,13.58,17.4762,FCCBCC
8.35067,0.05638,1.494,9.91,9.96012,FCC
6.74625,0.07135,6.268,11.73,13.1875,BCC
8.456,0.05279,1.688,11.82,5.82502,FCCBCC
7.97,0.07839,3.285,13.71,4.40986,Multiphase
6.5295,0.04004,3.935,6.71,1.5593,FCCBCC
7.62,0.10311,8.174,12.27,14.3484,Multiphase
7.988,0.08256,3.843,9.87,2.70604,FCC
4.4875,0.10059,9.721,6.69,3.9,BCC
4.46667,0.0653,4.691,11.47,2.36444,BCC
6.577,0.06528,6.174,12.15,11.6666,Multiphase
7.1935,0.06833,5.845,13.69,12.5333,BCC
7.38,0.08597,5.378,10.87,9.798,Multiphase
4.25,0.02103,3.947,11.53,16.25,BCC
5.497,0.18792,4.971,11.62,4.26096,Multiphase
8.4725,0.05248,1.505,11.73,5.98368,FCC
7.5,0.08286,7,14.9,16.8889,FCCBCC
7.8,0.08147,3.456,13.38,8.96,Multiphase
4.83333,0.15808,6.261,14.9,2.11111,BCC
7.334,0.08042,6.763,13.83,16.9215,BCC
6.5,0.12039,5.793,11.53,11.75,Multiphase
7.69317,0.05657,1.999,10,3.24927,Multiphase
7.9525,0.07851,3.496,13.7,4.69109,FCCBCC
7.3,0.08796,5.447,11.1,11.33,Multiphase
5.196,0.05715,1.122,2.4,2.45709,Multiphase
8,0.07701,6.157,9.13,8.44444,Multiphase
7.184,0.06834,5.852,13.58,12.6628,BCC
7.76075,0.0812,3.715,12.29,3.81957,FCCBCC
7.6,0.09026,3.775,13.38,8.96,Multiphase
8.7558,0.05129,1.484,13.74,2.77748,FCCBCC
7.988,0.06178,2.498,11.76,10.4579,Multiphase
4.398,0.09509,7.226,13.58,1.15898,Multiphase
8.23725,0.05374,1.002,11.66,3.98775,FCC
7.034,0.05036,1.387,6.85,1.66643,Multiphase
8.285,0.06258,1.591,9.57,5.5932,Multiphase
4.33833,0.08581,5.315,9.78,1.14413,Multiphase
7.194,0.06924,5.788,13.58,12.2727,Multiphase
4.25,0.0899,4.872,11.53,2.5,BCC
4.492,0.09139,5.711,6.52,3.92406,BCC
8.205,0.05392,1.411,12.01,4.37941,Multiphase
7.46985,0.08551,5.552,17.51,8.44242,Multiphase
7.035,0.07409,6.099,12.2,14.9999,Multiphase
4.75,0.14048,5.95,11.53,14,BCC
4.3958,0.08139,4.994,13.51,2.34478,BCC
8.7482,0.05149,1.499,13.8,2.70794,Multiphase
4.975,0.14313,4.061,11.94,3.5334,BCC
7.015,0.07534,6.101,12.31,15.1109,Multiphase
6.5675,0.06707,6.173,12.31,11.598,Multiphase
4.7575,0.1825,6.164,12.3,2.55595,BCC
7.0005,0.08458,6.042,18.27,12.7368,FCCBCC
5.71429,0.16333,4.318,16.18,9.95918,BCC
8.401,0.05379,2.184,12.07,5.30231,FCCBCC
5.5,0.17674,4.651,14.9,4.88889,BCC
7.65767,0.08788,3.813,9.79,5.83288,BCC
8.8,0.09263,8.072,10.92,0.48,Multiphase
5,0.18553,3.74,13.38,3.68,BCC
4,0.09076,4.968,13.38,19.36,BCC
6.5,0.06121,3.567,11.53,2.25,BCC
7.975,0.07782,6.158,15.08,8.66866,Multiphase
4.27625,0.10698,5,12,2.13006,BCC
8.22663,0.05668,2.138,11.75,4.40352,Multiphase
0.37,2.8655,284.865,2.56,0.0114,Multiphase
8.25,0.06827,5.852,11.53,8,FCCBCC
6.6,0.10699,5.964,13.38,10.72,Multiphase
7.2095,0.0678,5.781,13.49,12.1907,BCC
4.75,0.18519,5.988,11.53,2.5,BCC
7.1936,0.0678,5.801,13.47,12.5406,BCC
4.35333,0.07796,5.396,9.98,2.23747,BCC
4.49125,0.10039,9.687,7.02,3.79564,BCC
6.105,0.07306,7.736,10.15,11.9482,Multiphase
7.025,0.0744,6.113,11.93,15.1606,FCCBCC
6.744,0.07231,6.265,11.82,13.15,Multiphase
8.25467,0.05769,2.375,10.42,9.05436,BCC
7.05,0.07289,6.132,12.57,19.46,Multiphase
8.33467,0.0566,1.676,10.02,9.80736,FCC
9.49725,0.01642,1.33,11.56,5.002,Multiphase
7.82233,0.06774,5.294,15.11,4.72062,Multiphase
4.7996,0.14134,5.513,13.41,13.8314,Multiphase
8.6666,0.05311,2.374,13.98,1.92195,FCCBCC
4.339,0.09214,5.718,9.71,1.15681,Multiphase
4.27625,0.02144,4.162,12,16.1503,Multiphase
4.75375,0.18385,6.078,12,2.52899,BCC
6.7485,0.07036,6.271,11.62,13.225,BCC
7.9875,0.07839,3.339,13.49,4.30082,Multiphase
4.8,0.16632,6.853,13.38,2.72,BCC
7.9625,0.07848,3.452,13.65,4.58019,FCCBCC
8.6,0.09224,4.051,13.38,5.6,FCC
4.34333,0.09471,4.665,9.78,1.14743,Multiphase
5.78867,0.05801,6.721,10.12,10.3303,Multiphase
8.005,0.06658,6.007,11.73,4.77227,Multiphase
7.1968,0.06912,5.922,13.43,12.4776,Multiphase
4.33767,0.08654,5.411,9.85,0.59207,Multiphase
7.51,0.06508,6.226,11.93,13.4752,Multiphase
7.5,0.12103,10.01,14.9,23.8889,Multiphase
4.68,0.03209,6.858,7.16,10.7936,Multiphase
4.7575,0.08561,8.747,11.93,4.99505,Multiphase
6.5245,0.04006,3.97,6.82,1.48954,BCC
7.9,0.06355,5.557,11.64,17.52,Multiphase
7.1904,0.07166,6.182,13.51,12.7918,Multiphase
6.81625,0.06968,6.215,12.31,12.9249,FCCBCC
8.35,0.06555,2.549,10.4,4.005,BCC
4.35,0.06793,4.652,10.72,2.26,BCC
9.01667,0.0943,4.029,10.33,2.66,FCC
9,0.07434,3.192,13.38,1.76,FCC
7.059,0.05119,1.317,7.17,1.58909,FCC
4.512,0.0366,1.325,6.22,1.80378,BCC
7.1988,0.0681,5.788,13.43,12.3106,BCC
6.66667,0.08696,6.364,14.9,12.8889,Multiphase
8.852,0.04123,1.821,5.87,1.31435,FCC
8.7026,0.05268,1.588,14.08,2.29605,BCC
7.632,0.11884,8.682,10.86,8.4444,FCC
6.515,0.06669,6.2,11.93,11.4847,Multiphase
4.4,0.13078,5.624,13.38,9.28,Multiphase
